problem,algorithm,heuristic,actions,expansions,goal_tests,new_nodes,plan_length,time_seconds
1,breadth_first_search,,20,43,56,178,6,0.03148065500135999
1,depth_first_graph_search,,20,21,22,84,20,0.013074750007945113
1,uniform_cost_search,,20,60,62,240,6,0.03778048200183548
1,greedy_best_first_graph_search,h_unmet_goals,20,7,9,29,6,0.007534256990766153
1,greedy_best_first_graph_search,h_pg_levelsum,20,6,8,28,6,0.29579481200198643
1,greedy_best_first_graph_search,h_pg_maxlevel,20,6,8,24,6,0.23205038798914757
1,greedy_best_first_graph_search,h_pg_setlevel,20,6,8,28,6,0.5981286239984911
1,astar_search,h_unmet_goals,20,50,52,206,6,0.04350472800433636
1,astar_search,h_pg_levelsum,20,28,30,122,6,0.5434010970056988
1,astar_search,h_pg_maxlevel,20,43,45,180,6,0.5888121949974447
1,astar_search,h_pg_setlevel,20,33,35,138,6,1.0953649269940797
2,breadth_first_search,,72,3343,4609,30503,9,0.4942184320098022
2,depth_first_graph_search,,72,624,625,5602,619,0.9023547319957288
2,uniform_cost_search,,72,5154,5156,46618,9,1.0783011450112099
2,greedy_best_first_graph_search,h_unmet_goals,72,17,19,170,9,0.05279884999617934
2,greedy_best_first_graph_search,h_pg_levelsum,72,9,11,86,9,1.461687938994146
2,greedy_best_first_graph_search,h_pg_maxlevel,72,27,29,249,9,1.5994222730078036
2,greedy_best_first_graph_search,h_pg_setlevel,72,9,11,84,9,3.5377926439978182
2,astar_search,h_unmet_goals,72,2467,2469,22522,9,1.2001261060067918
2,astar_search,h_pg_levelsum,72,357,359,3426,9,11.445064479994471
2,astar_search,h_pg_maxlevel,72,2887,2889,26594,9,55.44306067599973
2,astar_search,h_pg_setlevel,72,1037,1039,9605,9,193.33440707498812
3,breadth_first_search,,88,14663,18098,129625,12,1.437797671998851
3,depth_first_graph_search,,88,408,409,3364,392,0.43575533900002483
3,uniform_cost_search,,88,18510,18512,161936,12,2.3165258840017486
3,greedy_best_first_graph_search,h_unmet_goals,88,25,27,230,15,0.06172095901274588
3,greedy_best_first_graph_search,h_pg_levelsum,88,14,16,126,14,4.285719676001463
3,greedy_best_first_graph_search,h_pg_maxlevel,88,21,23,195,13,4.569892151004751
3,greedy_best_first_graph_search,h_pg_setlevel,88,35,37,345,17,27.166820092010312
3,astar_search,h_unmet_goals,88,7388,7390,65711,12,2.380836205993546
3,astar_search,h_pg_levelsum,88,369,371,3403,12,68.29896461400494
3,astar_search,h_pg_maxlevel,88,9580,9582,86312,12,933.7903423069947
3,astar_search,h_pg_setlevel,88,3423,3425,31596,12,1517.852625503001
4,breadth_first_search,,104,99736,114953,944130,14,8.662872129003517
4,depth_first_graph_search,,104,25174,25175,228849,24132,1299.3361227529967
4,uniform_cost_search,,104,113339,113341,1066413,14,13.682616179008619
4,greedy_best_first_graph_search,h_unmet_goals,104,29,31,280,18,0.07079105199954938
4,greedy_best_first_graph_search,h_pg_levelsum,104,17,19,165,17,6.5456263560045045
4,greedy_best_first_graph_search,h_pg_maxlevel,104,56,58,580,17,10.425330049009062
4,greedy_best_first_graph_search,h_pg_setlevel,104,107,109,1164,23,117.1091948760004
4,astar_search,h_unmet_goals,104,34330,34332,328509,14,7.373166792996926
4,astar_search,h_pg_levelsum,104,1208,1210,12210,15,275.57210831998964
4,astar_search,h_pg_maxlevel,104,62077,62079,599376,14,7088.7368119070015
4,astar_search,h_pg_setlevel,104,22606,22608,224229,14,12350.320764313